,tweet_id,favorites,retweets
335,831322785565769729,8775,1449
336,831315979191906304,6187,1040
337,831309418084069378,11121,2276
338,831262627380748289,11196,1896
339,830956169170665475,7533,1380
340,830583320585068544,62598,15458
341,830173239259324417,0,5260
342,830097400375152640,9193,2710
343,829878982036299777,0,4623
344,829861396166877184,11551,1798
345,829501995190984704,29952,9806
346,829449946868879360,9901,1865
347,829141528400556032,22956,6791
348,829011960981237760,50368,15156
349,828801551087042563,0,3175
350,828770345708580865,24156,5411
351,828708714936930305,34330,10358
352,828650029636317184,8976,1246
353,828409743546925057,6054,1086
354,828408677031882754,7270,1191
355,828381636999917570,11900,2066
356,828376505180889089,7000,996
357,828372645993398273,11895,2730
358,828361771580813312,2074,165
359,828046555563323392,11079,2663
360,828011680017821696,9794,2003
361,827933404142436356,18896,4849
362,827653905312006145,14614,2802
363,827600520311402496,7069,866
364,827324948884643840,14975,2814
365,827199976799354881,10021,2065
366,826958653328592898,20355,4623
367,826848821049180160,34106,9366
368,826615380357632002,0,3690
369,826598799820865537,4869,230
370,826598365270007810,9464,2183
371,826476773533745153,17404,3898
372,826240494070030336,12549,2425
373,826204788643753985,4603,857
374,826115272272650244,14763,2878
375,825876512159186944,9935,1740
376,825829644528148480,12042,2339
377,825535076884762624,54045,16381
378,825147591692263424,17291,4192
379,825120256414846976,0,1168
380,825026590719483904,5920,1168
381,824796380199809024,0,5111
382,824775126675836928,14089,3283
383,824663926340194305,9950,1651
384,824325613288833024,11203,9904
385,824297048279236611,14253,3578
386,824025158776213504,4587,558
387,823939628516474880,10076,2542
388,823719002937630720,0,10381
389,823699002998870016,13229,2339
390,823581115634085888,12289,2450
391,823333489516937216,662,22
392,823322678127919110,14851,3726
393,823269594223824897,0,9245
394,822975315408461824,16398,3203
395,822872901745569793,124254,39994
396,822859134160621569,12472,2115
397,822647212903690241,0,5963
398,822610361945911296,13993,2738
399,822489057087389700,17143,5963
400,822462944365645825,26351,13178
401,822244816520155136,33168,9245
402,822163064745328640,0,4393
403,821886076407029760,10694,2147
404,821813639212650496,0,3128
405,821765923262631936,7919,1557
406,821522889702862852,7586,1634
407,821421320206483457,0,5135
408,821407182352777218,11119,4001
409,821153421864615936,236,9
410,821149554670182400,8121,1826
411,821107785811234820,9085,1978
412,821044531881721856,11974,2129
413,820837357901512704,0,6253
414,820749716845686786,29887,9239
415,820690176645140481,11603,3007
416,820494788566847489,0,523
417,820446719150292993,0,2398
418,820314633777061888,3163,523
419,820078625395449857,18678,5804
420,820013781606658049,0,1085
421,819952236453363712,5027,1085
422,819924195358416896,12254,4553
423,819711362133872643,12637,2882
424,819588359383371776,9168,1872
425,819347104292290561,6853,1119
426,819238181065359361,2142,379
427,819227688460238848,21825,6253
428,819015337530290176,0,34599
429,819015331746349057,0,17824
430,819006400881917954,43089,17824
431,819004803107983360,82797,34599
432,818646164899774465,0,19486
433,818627210458333184,21257,7070
434,818614493328580609,9319,2358
435,818588835076603904,0,5706
436,818536468981415936,10293,2279
437,818307523543449600,0,7482
438,818259473185828864,10430,2091
439,818145370475810820,11635,2372
440,817908911860748288,4612,741
441,817827839487737858,48719,25180
442,817777686764523521,10239,2525
443,817536400337801217,11145,2738
444,817502432452313088,0,3147
445,817423860136083457,31920,13622
446,817415592588222464,5306,892
447,817181837579653120,0,7887
448,817171292965273600,8315,1874
449,817120970343411712,11561,2418
450,817056546584727552,8149,1523
451,816829038950027264,0,4400
452,816816676327063552,9493,1898
453,816697700272001025,9260,2062
454,816450570814898180,28753,7482
455,816336735214911488,8179,1808
456,816091915477250048,8492,1994
457,816062466425819140,0,946
458,816014286006976512,0,4891
459,815990720817401858,4698,946
460,815966073409433600,21166,7887
461,815745968457060357,0,3866
462,815736392542261248,9323,2127
463,815639385530101762,7831,1557
464,815390420867969024,9837,3578
465,814986499976527872,7265,1190
466,814638523311648768,10708,2530
467,814578408554463233,0,5471
468,814530161257443328,8225,1743
469,814153002265309185,27306,8127
470,813944609378369540,0,2964
471,813910438903693312,8868,1737
472,813812741911748608,34674,13059
473,813800681631023104,7891,1653
474,813217897535406080,17716,6862
475,813202720496779264,8779,1709
476,813187593374461952,18861,4058
477,813172488309972993,8817,1811
478,813157409116065792,7392,2071
479,813142292504645637,8096,2249
480,813130366689148928,4266,422
481,813127251579564032,11234,2926
482,813112105746448384,9809,2575
483,813096984823349248,10048,3398
484,813081950185472002,9433,2603
485,813066809284972545,7550,1833
486,813051746834595840,19949,6874
487,812781120811126785,7164,1788
488,812709060537683968,6303,1356
489,812503143955202048,5744,1149
490,812466873996607488,7582,1802
491,812372279581671427,12955,3433
492,811985624773361665,6924,1313
493,811744202451197953,7169,1484
494,811647686436880384,5325,684
